character_id_a,name_a,character_id_b,name_b,episode_count
9,Lisa Simpson,140,Rev. Timothy Lovejoy,132
8,Bart Simpson,140,Rev. Timothy Lovejoy,132
2,Homer Simpson,140,Rev. Timothy Lovejoy,132
11,Ned Flanders,31,Grampa Simpson,132
1,Marge Simpson,140,Rev. Timothy Lovejoy,131
170,Carl Carlson,211,Kent Brockman,130
1,Marge Simpson,40,Edna Krabappel-Flanders,129
2,Homer Simpson,40,Edna Krabappel-Flanders,129
8,Bart Simpson,40,Edna Krabappel-Flanders,129
9,Lisa Simpson,40,Edna Krabappel-Flanders,129
15,C. Montgomery Burns,25,Milhouse Van Houten,128
165,Lenny Leonard,332,Dr. Julius Hibbert,128
101,Nelson Muntz,170,Carl Carlson,126
3,Seymour Skinner,139,Krusty the Clown,126
25,Milhouse Van Houten,211,Kent Brockman,125
11,Ned Flanders,332,Dr. Julius Hibbert,125
71,Chief Wiggum,208,Apu Nahasapeemapetilon,125
139,Krusty the Clown,211,Kent Brockman,124
11,Ned Flanders,15,C. Montgomery Burns,124
2,Homer Simpson,801,Comic Book Guy,123
101,Nelson Muntz,139,Krusty the Clown,123
9,Lisa Simpson,801,Comic Book Guy,123
1,Marge Simpson,801,Comic Book Guy,123
8,Bart Simpson,801,Comic Book Guy,123
17,Moe Szyslak,33,Announcer,123
3,Seymour Skinner,15,C. Montgomery Burns,122
14,Waylon Smithers,165,Lenny Leonard,122
139,Krusty the Clown,170,Carl Carlson,122
31,Grampa Simpson,211,Kent Brockman,120
11,Ned Flanders,211,Kent Brockman,119
25,Milhouse Van Houten,208,Apu Nahasapeemapetilon,118
11,Ned Flanders,208,Apu Nahasapeemapetilon,117
11,Ned Flanders,139,Krusty the Clown,117
25,Milhouse Van Houten,332,Dr. Julius Hibbert,116
31,Grampa Simpson,139,Krusty the Clown,116
3,Seymour Skinner,332,Dr. Julius Hibbert,116
165,Lenny Leonard,208,Apu Nahasapeemapetilon,115
170,Carl Carlson,332,Dr. Julius Hibbert,114
3,Seymour Skinner,208,Apu Nahasapeemapetilon,113
25,Milhouse Van Houten,404,Groundskeeper Willie,111
14,Waylon Smithers,170,Carl Carlson,111
15,C. Montgomery Burns,211,Kent Brockman,111
101,Nelson Muntz,211,Kent Brockman,111
15,C. Montgomery Burns,101,Nelson Muntz,111
101,Nelson Muntz,404,Groundskeeper Willie,110
17,Moe Szyslak,240,Mayor Joe Quimby,108
3,Seymour Skinner,40,Edna Krabappel-Flanders,107
139,Krusty the Clown,332,Dr. Julius Hibbert,106
31,Grampa Simpson,332,Dr. Julius Hibbert,106
33,Announcer,71,Chief Wiggum,106
14,Waylon Smithers,71,Chief Wiggum,106
17,Moe Szyslak,404,Groundskeeper Willie,106
25,Milhouse Van Houten,33,Announcer,105
15,C. Montgomery Burns,139,Krusty the Clown,104
101,Nelson Muntz,332,Dr. Julius Hibbert,103
211,Kent Brockman,332,Dr. Julius Hibbert,101
14,Waylon Smithers,31,Grampa Simpson,100
170,Carl Carlson,208,Apu Nahasapeemapetilon,99
139,Krusty the Clown,208,Apu Nahasapeemapetilon,99
1,Marge Simpson,1078,Gary Chalmers,98
71,Chief Wiggum,240,Mayor Joe Quimby,98
2,Homer Simpson,1078,Gary Chalmers,98
8,Bart Simpson,1078,Gary Chalmers,98
9,Lisa Simpson,1078,Gary Chalmers,97
71,Chief Wiggum,404,Groundskeeper Willie,96
31,Grampa Simpson,208,Apu Nahasapeemapetilon,96
3,Seymour Skinner,1078,Gary Chalmers,95
14,Waylon Smithers,25,Milhouse Van Houten,94
31,Grampa Simpson,33,Announcer,94
25,Milhouse Van Houten,40,Edna Krabappel-Flanders,94
211,Kent Brockman,240,Mayor Joe Quimby,93
208,Apu Nahasapeemapetilon,211,Kent Brockman,92
17,Moe Szyslak,801,Comic Book Guy,92
3,Seymour Skinner,33,Announcer,92
15,C. Montgomery Burns,332,Dr. Julius Hibbert,92
14,Waylon Smithers,211,Kent Brockman,92
11,Ned Flanders,140,Rev. Timothy Lovejoy,91
17,Moe Szyslak,140,Rev. Timothy Lovejoy,91
33,Announcer,165,Lenny Leonard,91
101,Nelson Muntz,208,Apu Nahasapeemapetilon,90
