id,name,normalized_name
800,Duff Brewery Entrance,duff brewery entrance
801,All Creatures Great and Cheap,all creatures great and cheap
802,Driver Training School,driver training school
803,Church Basement Room,church basement room
804,Science Fair,science fair
805,Baseball Stadium,baseball stadium
806,Alch-Anon Meeting,alch-anon meeting
807,Springfield Power Works,springfield power works
808,Dentist's Office,dentist office
809,Union Hall,union hall
810,Nuclear Plant Hallway,nuclear plant hallway
811,Springfield Shopper Building,springfield shopper building
812,Red Light District,red light district
813,Factory,factory
814,Simpson Hut,simpson hut
815,Hardware Store,hardware store
816,Cartoon Barber Shop,cartoon barber shop
817,Itchy & Scratchy Studios,itchy scratchy studios
818,Roger Meyers' Office,roger meyers office
819,Bart and Lisa's Bedroom,bart and lisa bedroom
820,Gym,gym
821,Gymnasium,gymnasium
822,Writers' Office,writers office
823,Animation Building,animation building
824,Adult Education Center,adult education center
825,Grampa's Office,grampa office
826,Springfield High School Classroom,springfield high school classroom
827,Rod And Todd's Bedroom,rod and todd bedroom
828,Civil Defense Shelter,civil defense shelter
829,Defense Shelter,defense shelter
830,Cafeteria,cafeteria
831,Religious School,religious school
832,"40'S Style Night Club A La The Movie ""Cabaret""",40 style night club a la the movie cabaret
833,Security Room,security room
834,Springfield Fairgrounds,springfield fairgrounds
835,Springfield City Limits,springfield city limits
836,Fields Around Springfield,fields around springfield
837,Fallout Shelter,fallout shelter
838,Roof Top Corner 12Th And Main,roof top corner 12th and main
839,Bart's Body,bart body
840,“I Can't Believe It's a Law Firm!”,i cant believe it a law firm
841,Sauna,sauna
842,Podium,podium
843,Lovejoy House,lovejoy house
844,Courthouse Hallway,courthouse hallway
845,Springfield Women's Prison,springfield women prison
846,Trailer,trailer
847,Johnny Carson's House,johnny carson house
848,Johnny Carson's Backyard,johnny carson backyard
849,Racetrack,racetrack
850,KBBL Studios,kbbl studios
851,Gabbo Show,gabbo show
852,Tour Bus,tour bus
853,Playboy Mansion,playboy mansion
854,Elizabeth Taylor'S House,elizabeth taylor house
855,Krusty Theater,krusty theater
856,Stage,stage
857,Building,building
858,Springfield Swap Meet,springfield swap meet
859,Swap Meet,swap meet
860,Rehearsal Hall,rehearsal hall
861,Moe's Bathroom,moe bathroom
862,Boat,boat
863,Kennedy Airport,kennedy airport
864,Statue of Liberty,statue of liberty
865,Civic Auditorium,civic auditorium
866,Grammys,grammys
867,Hotel Suite,hotel suite
868,Hotel Balcony,hotel balcony
869,Bldg.,bldg
870,Someone'S Room,someone room
871,Prison Cell,prison cell
872,Parole Board,parole board
873,Hearing Room,hearing room
874,Sideshow Bob's Room,sideshow bob room
875,Private Investigator'S Office,private investigator office
876,Springfield Bar,springfield bar
877,Fbi Office,fbi office
878,Simpson Convertible,simpson convertible
879,Houseboat,houseboat
880,Marina,marina
881,Old Simpson Home,old simpson home
882,Shore,shore
883,Safety Chamber,safety chamber
884,Basement Of Nuclear Power Plant,basement of nuclear power plant
885,Simulator Van,simulator van
886,Guidance Counselor'S,guidance counselor
887,Admissions Office,admissions office
888,Board Of Overseers Conference Room,board of overseers conference room
889,Springfield University,springfield university
890,Construction Site,construction site
891,Springfield A&M,springfield am
892,Springfield University Entrance,springfield university entrance
893,Springfield Memorial Hospital,springfield memorial hospital
894,Ballroom,ballroom
895,Nuclear Power Plant Ballroom,nuclear power plant ballroom
896,Burns's Warehouse,burns warehouse
897,Milk Plant,milk plant
898,Burns's Bedroom,burns bedroom
899,Night Gallery-Type Set,night gallery-type set
900,Fashion Show,fashion show
901,Hell,hell
902,Springfield Elementary School Bus,springfield elementary school bus
903,Alien Space Ship,alien space ship
904,Flanders's Car,flanders car
905,Ambulance,ambulance
906,Castle,castle
907,Burns' Castle,burns castle
908,Secret Room,secret room
909,Burns' Banquet Hall,burns banquet hall
910,Simpson' House,simpson house
911,Soda Machine,soda machine
912,A Different Hallway,a different hallway
913,Lenny's House,lenny house
914,Honky-tonk Roadhouse,honky-tonk roadhouse
915,Sh_T Kickers,sh_t kickers
916,Underground Club,underground club
917,The Hate Box,the hate box
918,Secluded Meadow,secluded meadow
919,Ruth's Car,ruth car
920,Trail,trail
921,Springfield Sign,springfield sign
922,Trail Night,trail night
923,Chief Wiggum's Police Car,chief wiggum police car
924,Wiggum'S Car,wiggum car
925,Grand Chasm,grand chasm
926,Dragnet-Style Limbo,dragnet-style limbo
927,Limbo,limbo
928,Overpass,overpass
929,News Set,news set
930,Float,float
931,Outside The Arcade,outside the arcade
932,Springfield Street Corner,springfield street corner
933,Outside The Kwik-E-Mart,outside the kwik-e-mart
934,Busy Main Street,busy main street
935,Seedy Springfield Street,seedy springfield street
936,Freighter,freighter
937,Patrol Meeting Room,patrol meeting room
938,Homer's Bedroom,homer bedroom
939,The Side Of The River,the side of the river
940,The River,the river
941,A Sunny Beach,a sunny beach
942,Out At Sea,out at sea
943,River,river
944,Raft,raft
945,Ocean,ocean
946,Offshore Oil Rig,offshore oil rig
948,Arab Nightclub,arab nightclub
949,Hmo,hmo
950,Optometrist's Office,optometrist office
951,Dermatologist's Office,dermatologist office
952,Podiatrist's Office,podiatrist office
953,Internist's Office,internist office
954,Phone Booth,phone booth
955,Telephone Booth,telephone booth
956,Homer's Room,homer room
957,Homer's Bathroom,homer bathroom
958,Homer's Hotel Room,homer hotel room
959,Convention Hall,convention hall
960,Homer's Booth,homer booth
961,Chinese Restaurant,chinese restaurant
962,Chinese Restaurant Kitchen,chinese restaurant kitchen
963,Springfield Boardwalk,springfield boardwalk
964,Gong Show,gong show
965,Mr. Burns' Casino,mr burns casino
966,Skinner's Living Room,skinner living room
967,Suburban Springfield Street,suburban springfield street
968,Smartline Studio,smartline studio
969,Elegant Mansion,elegant mansion
970,Box Factory,box factory
971,Channel 6 Studios,channel 6 studios
972,Street Corner,street corner
973,Krusty's Bathroom,krusty bathroom
974,Supermarket Grand Opening,supermarket grand opening
975,Stage Door,stage door
976,Little Girl's Bedroom,little girl bedroom
977,Talkshow,talkshow
978,City Streets,city streets
979,Homer's Hospital Room,homer hospital room
980,Channel 6 Tv Station,channel 6 tv station
981,The Van,the van
982,Simpsons,simpsons
983,Monstromart,monstromart
984,Desolate Scrubland,desolate scrubland
985,Himalayas,himalayas
986,India,india
987,Airport In India,airport in india
988,Indian Plain,indian plain
989,Mountain Trail,mountain trail
990,Kwik-E-Mart Birthplace,kwik-e-mart birthplace
991,Center for Geriatric Medicine,center for geriatric medicine
992,Seniorville Trolley,seniorville trolley
993,Kidstown USA,kidstown usa
994,Huge Industrial Complex,huge industrial complex
995,Malibu Stacy Factory,malibu stacy factory
996,Someplace,someplace
997,Apartment Complex,apartment complex
998,Springfield Gables Street,springfield gables street
999,Stacy Lovell's House,stacy lovell house
1000,Kent Brockman's House,kent brockman house
1001,Somewhere,somewhere
1002,Mission Control,mission control
1003,Nasa,nasa
1004,Cape Canaveral Base,cape canaveral base
1005,Hotel Banquet Room,hotel banquet room
1006,Simpsons' Base Kitchen,simpsons base kitchen
1007,NASA Training Facility,nasa training facility
1008,NASA Gym,nasa gym
1009,NASA Corridor,nasa corridor
1010,Cape Canaveral,cape canaveral
1011,Launch Pad,launch pad
1012,Simpsons' Base House Living Room,simpsons base house living room
1013,NASA Mission Control,nasa mission control
1014,Simpsons' Base Housing Living Room,simpsons base housing living room
1015,Stadium Box Office,stadium box office
1016,Shelbyville Stadium,shelbyville stadium
1017,Springfield Locker Room,springfield locker room
1018,Locker Room Exit,locker room exit
1019,Flanders' Rec Room,flanders rec room
1020,Flanders' Dining Room,flanders dining room
1021,Shelter,shelter
1022,Flanders' Station Wagon- Day,flanders station wagon- day
1023,Boat Launch,boat launch
1024,Campsite,campsite
1025,University Clock Tower,university clock tower
1026,Flanders Master Bedroom,flanders master bedroom
1027,Flanders' Driveway,flanders driveway
1028,Roadside,roadside
1029,First Church,first church
1030,Kbbl,kbbl
1031,Arboretum,arboretum
1032,Flanders Bedroom,flanders bedroom
1033,Springfield Streets,springfield streets
1034,Amphitheater,amphitheater
1035,Another Amphitheater,another amphitheater
1036,Peanut Factory,peanut factory
1037,Quiet Springfield Street,quiet springfield street
1038,Springfield Animal Refuge,springfield animal refuge
1039,Another Basement Room,another basement room
1040,Municipal Courtroom,municipal courtroom
1041,Sports Car,sports car
1042,Cheap Motel,cheap motel
1043,Basement Room,basement room
1044,Next Room,next room
1045,Basement Tv Monitor Room,basement tv monitor room
1046,Springfield Laundromat,springfield laundromat
1047,Italian Restaurant,italian restaurant
1048,Fort Springfield,fort springfield
1049,Prison Bus,prison bus
1050,Springfield Elementary School Crime Lab,springfield elementary school crime lab
1051,Riverbank,riverbank
1052,Old Abandoned Club House,old abandoned club house
1053,Auction House,auction house
1054,Desolate Road,desolate road
1055,Quimby Compound,quimby compound
1056,Quimby Compound Front Yard,quimby compound front yard
1057,Quimby Mansion,quimby mansion
1058,Jury Room,jury room
1059,Springfield Palace Hotel,springfield palace hotel
1060,Bouvier Apartment,bouvier apartment
1061,Generation X Group House,generation x group house
1062,Mountaintop,mountaintop
1063,Senior Citizen'S Minibus,senior citizen minibus
1064,Adult Education Annex,adult education annex
1065,Old Southern Mansion,old southern mansion
1066,Simpson Front Porch,simpson front porch
1067,Attic,attic
1068,Wax Museum,wax museum
1069,Pool Emporium,pool emporium
1070,Pool Sharks!,pool sharks
1071,Dr. Hibbert'S Examining Room,dr hibbert examining room
1072,Martin Prince'S Backyard,martin prince backyard
1073,Jimmy Stewart Character House,jimmy stewart character house
1074,Flanders' Front Yard,flanders front yard
1075,Flanders' Living Room,flanders living room
1076,Lisa's Classroom,lisa classroom
1077,Springfield Elementary School Band Room,springfield elementary school band room
1078,Drainage Tunnel,drainage tunnel
1079,Allison's Living Room,allison living room
1080,Allison's Playroom,allison playroom
1081,Honey Factory,honey factory
1082,Shorty'S,shorty
1083,Street In Small Town In Amish Country,street in small town in amish country
1084,Freeway Checkpoint,freeway checkpoint
1085,Checkpoint,checkpoint
1086,Motel,motel
1087,Itchy & Scratchy Land,itchy scratchy land
1088,Itchy & Scratchy Land Park n' Fly,itchy scratchy land park n fly
1089,Itchy & Scratchy Land Helicopter,itchy scratchy land helicopter
1090,Itchy & Scratchy Land Entrance,itchy scratchy land entrance
1091,Itchy & Scratchy Hotel Restaurant,itchy scratchy hotel restaurant
1092,Itchy & Scratchy Hotel,itchy scratchy hotel
1093,Parents Island,parents island
1094,Itchy's 70's Disco,itchy 70 disco
1095,Itchy & Scratchy Gift Shop,itchy scratchy gift shop
1096,Scratchy,scratchy
1097,Control Complex,control complex
1098,Control Center,control center
1099,Gift Shop,gift shop
1100,Detention Area,detention area
1101,Repair Room,repair room
1102,Bird Sanctuary,bird sanctuary
1103,Entrance Euro Itchy & Scratchy Land,entrance euro itchy scratchy land
1104,Public Library,public library
1105,Mrs. Mcfearly'S House,mrs mcfearly house
1106,Republican Hq,republican hq
1107,Sideshow Bob's Limousine,sideshow bob limousine
1108,Luncheonette,luncheonette
1109,Civic Center,civic center
1110,Polling Place,polling place
1111,Parking Structure,parking structure
1112,Burns' Mountain Retreat,burns mountain retreat
1113,Caretakers Quarters,caretakers quarters
1114,Grand Ballroom,grand ballroom
1115,First Floor,first floor
1116,Pantry,pantry
1117,Chief Wiggum's Office,chief wiggum office
1118,Groundskeeper Willie's Shack,groundskeeper willie shack
1119,Shack,shack
1120,Basement,basement
1121,Time Vortex,time vortex
1122,Springfield Jungle,springfield jungle
1123,High Tech Room,high tech room
1124,Corridor,corridor
1125,Springfield Primeval Jungle,springfield primeval jungle
1126,Cafeteria Storeroom,cafeteria storeroom
1127,Kitchen Door,kitchen door
1128,Neighborhood Playground,neighborhood playground
1129,Seashore,seashore
1130,Windy Hilltop,windy hilltop
1131,Gym Teacher'S Office,gym teacher office
1132,Springfield Skating Rink,springfield skating rink
1133,Hockey Rink,hockey rink
1134,The Steps Of The Capitol,the steps of the capitol
2172,Bushes,bushes
1135,Monster Island,monster island
1136,Skating Rink Locker Room,skating rink locker room
1137,Skating Rink,skating rink
1138,Apu's Apartment,apu apartment
1139,Ice Rink,ice rink
1140,Candy Convention,candy convention
1141,Rock Bottom Studio,rock bottom studio
1142,Underwater Wonderland,underwater wonderland
1143,Springfield Cable Station,springfield cable station
1144,Public Access Studio,public access studio
1145,College Dorm,college dorm
1146,Huge Bookstore,huge bookstore
1147,Bookstore,bookstore
1148,Romantic Motel,romantic motel
1149,Appliance Store,appliance store
1150,Road Out Of Town,road out of town
1151,Old Simpson Farmhouse,old simpson farmhouse
1152,Simpson Barn,simpson barn
1153,Simpson Farmhouse,simpson farmhouse
1154,Farmhouse,farmhouse
1155,Upscale Bar,upscale bar
1156,Cheers-Like Bar,cheers-like bar
1157,Gay Bar,gay bar
1158,The Little Black Box,the little black box
1159,Airline Headquarters,airline headquarters
1160,Airplane Runway,airplane runway
1161,Video Store,video store
1162,Psychiatrist'S Waiting Room,psychiatrist waiting room
1163,Dr. Zweig's Office,dr zweig office
1164,Psychiatric Center,psychiatric center
1165,Lobby,lobby
1166,Marge'S Childhood Home,marge childhood home
1167,Desolate Planet,desolate planet
1168,Marge'S Front Yard,marge front yard
1169,Corn Field,corn field
1170,Airport Runway,airport runway
1171,Copter,copter
1172,Lenny and Carl Workstation,lenny and carl workstation
1173,Temple Roof,temple roof
1174,Stonecutter Tunnel,stonecutter tunnel
1175,Baskin Robbins,baskin robbins
1176,Stonecutters Lodge,stonecutters lodge
1177,A Hospital Delivery Room,a hospital delivery room
1178,Fighter Cockpit,fighter cockpit
1179,Fighter,fighter
1180,Observatory,observatory
1181,House Of Representatives,house of representatives
1182,House Of Representative,house of representative
1183,Flanders Backyard,flanders backyard
1184,Bomb Shelter,bomb shelter
1185,Krusty's Klown Kollege,krusty klown kollege
1186,Luigi's,luigi
1187,Clown College,clown college
1188,Gangster'S Car,gangster car
1189,Car Lot,car lot
1190,Switzerland Village,switzerland village
1191,Plastic Surgeons Office,plastic surgeons office
1192,Gangsters Car,gangsters car
1193,South Pole,south pole
1194,Banana Republic,banana republic
1195,Fashionable Buenos Aires Street,fashionable buenos aires street
1196,Volcanic Island,volcanic island
1197,Australia,australia
1198,Australian House,australian house
1199,Earth,earth
1200,Australian Airport,australian airport
1201,Embassy,embassy
1202,Embassy Later,embassy later
1203,Cultural Center,cultural center
1204,Pub,pub
1205,Parliament House,parliament house
1206,Ambassador'S Office,ambassador office
1207,Discount Brokerage,discount brokerage
1208,Corporate Boardroom,corporate boardroom
1209,Swimming Pool,swimming pool
1210,Springfield Elementary School Gym,springfield elementary school gym
1211,First National Bank of Springfield,first national bank of springfield
1212,Doorway,doorway
1213,Ballet Class,ballet class
1214,Shot,shot
1215,Limousine,limousine
1216,Driver's Test Car,driver test car
1217,Springfield Performing Arts Center,springfield performing arts center
1218,Performing Arts Center,performing arts center
1219,Springfield River,springfield river
1220,Hospital Bed,hospital bed
1221,N.Y. City,ny city
1222,Desert,desert
1223,Springfield Hotel,springfield hotel
1224,Committee Room,committee room
1225,Hotel Hallway,hotel hallway
1226,Dorothy Chandler Pavilion,dorothy chandler pavilion
1227,Meadow,meadow
1228,Friar Wiggum's Fantastical Beastarium,friar wiggum fantastical beastarium
1229,Tent,tent
1230,Lisa's Dorm,lisa dorm
1231,Dorm Room,dorm room
1234,Parkfield Manor,parkfield manor
1235,Skyscraper,skyscraper
1236,Otto Cab,otto cab
1237,New Bedroom,new bedroom
1238,Springfield Meadow,springfield meadow
1239,Bride'S Tent,bride tent
1240,Main Tent,main tent
1241,Lisa's Tent,lisa tent
1242,Groom'S Tent,groom tent
1243,Renaissance Fair,renaissance fair
1244,Chief Wiggum's Bedroom,chief wiggum bedroom
1245,Pet Store,pet store
1246,Dog Racing Track Lobby,dog racing track lobby
1247,Track,track
1248,Burns's Gate,burns gate
1249,Burns's Bathroom,burns bathroom
1250,Laundry Chute,laundry chute
1251,Basement Laundry Room,basement laundry room
1252,Battlefield Entrance,battlefield entrance
1253,Historical Site,historical site
1254,Battlefield Re-Creation,battlefield re-creation
1255,Gym Class,gym class
1256,Elegant Living Room,elegant living room
1257,Another Classroom,another classroom
1258,Hallway Outside Skinner's Office,hallway outside skinner office
1259,Springfield Elementary School Prison,springfield elementary school prison
1260,Nurses Office A Little Later,nurses office a little later
1261,French Classroom,french classroom
1262,Operating Room,operating room
1263,Hospital Room A Few Hours Later,hospital room a few hours later
1264,Hospital Hallway,hospital hallway
1265,Springfield Bridge,springfield bridge
1266,Murphy'S Hospital Room,murphy hospital room
1267,The Jazz Hole,the jazz hole
1268,Steve Allen Show,steve allen show
1269,Swanky Department Store,swanky department store
1270,Cosby Show Living Room,cosby show living room
1271,Bleeding Gums Murphy's Hospital Room,bleeding gums murphy hospital room
1272,Springfield Cemetery Day,springfield cemetery day
1273,Wjazz,wjazz
1274,Jebediah Springfield Park,jebediah springfield park
1275,Small Park (includes A Band Shell),small park
1276,Grassy Knoll,grassy knoll
1277,City Street,city street
1278,Springfield Police Academy,springfield police academy
1279,Obstacle Course,obstacle course
1280,Shooting Range,shooting range
1281,Driving Course,driving course
1282,Springfield City Street,springfield city street
1283,Minor League Baseball Field,minor league baseball field
1284,Lemon Tree Area,lemon tree area
1285,Borderland,borderland
1286,Shelbyville Street,shelbyville street
1287,Shelbyville Park,shelbyville park
1288,Shelbyville Hillside,shelbyville hillside
1289,Flanders R.V.,flanders rv
1290,Shelbyville Bluffs,shelbyville bluffs
1291,Big Cat Building,big cat building
1292,Hill,hill
1293,Grassy Hill,grassy hill
1294,Impound Lot,impound lot
1295,Shelbyville Hospital,shelbyville hospital
1296,R.V.,rv
1297,Springfield Elementary School Roof,springfield elementary school roof
1298,Burns Oil Site,burns oil site
1299,Town Hall Steps,town hall steps
1300,Front Of Town Hall,front of town hall
1301,Smithers's Apartment,smithers apartment
1302,Nightclub,nightclub
1303,Paddy Wagon,paddy wagon
1304,Back Of Comic Book Store,back of comic book store
1305,Some Nerd'S House,some nerd house
1306,Hollywood Studio,hollywood studio
1307,Producer's Trailer,producer trailer
1308,Movie Set,movie set
1309,Shoot Location,shoot location
1310,Milhouse's Starwagon,milhouse starwagon
1311,Editing Trailer,editing trailer
1312,Editing Bay,editing bay
1313,Slot Car Heaven,slot car heaven
1314,Abandoned Factory,abandoned factory
1315,Hollywood And Vine,hollywood and vine
1316,Springfield Bentley Dealer,springfield bentley dealer
1317,Child Welfare Board,child welfare board
1318,Mingled Waters Health Spa,mingled waters health spa
1319,Swartzwelder County Courthouse,swartzwelder county courthouse
1320,Family Skills Class,family skills class
1321,Road Near Riverbank,road near riverbank
1322,Establishing,establishing
1323,Springfield Central Park,springfield central park
1324,Uncle Moe's Family Feedbag,uncle moe family feedbag
1325,181st Street,181st street
1326,Gramma Van Houten's Apartment,gramma van houten apartment
1327,Storytown Village,storytown village
1328,The Three Bears' House,the three bears house
1329,Train Ride,train ride
1330,Petting Zoo,petting zoo
1331,Sheep Pen,sheep pen
1332,Slaughterhouse Exit,slaughterhouse exit
1333,Kwik-E-Mart Roof,kwik-e-mart roof
1334,Lard Lad Donuts,lard lad donuts
1335,Springfield Strip,springfield strip
1336,Rooftop Of Channel 6,rooftop of channel 6
1337,Big And Tall Men'S Shop,big and tall men shop
1338,Van Brunt & Churchill Ad Agency,van brunt churchill ad agency
1339,Ad Agency,ad agency
1340,Remote Highway Out Of Town,remote highway out of town
1341,Ventura Boulevard,ventura boulevard
1342,Dr. Nick Rivera's Office,dr nick rivera office
1343,Dr. Nick Rivera's Outer Office,dr nick rivera outer office
1344,Vast Waistband,vast waistband
1345,Remote Idyllic Corn Field,remote idyllic corn field
1346,Litter-Strewn Highway,litter-strewn highway
1347,Springfield Highway,springfield highway
1348,Top Of Springfield Falls,top of springfield falls
1349,Springfield Cemetery,springfield cemetery
1350,Homer'S Boyhood Home,homer boyhood home
1351,Germ Warfare Lab,germ warfare lab
1352,Springfield Post Office,springfield post office
1353,Springfield Airport Cab Stand,springfield airport cab stand
1354,Patty and Selma's Living Room,patty and selma living room
1355,Isolated Stretch Of Highway,isolated stretch of highway
1356,Isolated Highway,isolated highway
1357,Springwood Minimum Security Prison,springwood minimum security prison
1358,Air Force Base,air force base
1359,Duff Blimp Exhibit,duff blimp exhibit
1360,F-15 Fighter Display,f-15 fighter display
1361,F-15 Fighter,f-15 fighter
1362,Colonel'S Washroom,colonel washroom
1363,Air Show,air show
1364,Channel Ocho,channel ocho
1365,Duff Blimp,duff blimp
1366,Civil Defense Shack,civil defense shack
1367,Harrier Jet,harrier jet
1368,Wright Bros. Plane,wright bros plane
1369,Fighter Jet,fighter jet
1370,Springfield Badlands,springfield badlands
1371,Springfield Civic Auditorium,springfield civic auditorium
1372,Matt Groening'S Office,matt groening office
1373,Indian Palace,indian palace
1374,Try-N-Save,try-n-save
1375,Burns's Outer Office,burns outer office
1376,Bush House,bush house
1377,Bush Porch,bush porch
1378,Elks Lodge,elks lodge
1379,Storm Drain,storm drain
1380,Sewer Drain,sewer drain
1381,Ogdenville Outlet Mall,ogdenville outlet mall
1382,Electronics Outlet,electronics outlet
1383,Appliance Zone,appliance zone
1384,Fashion Mart,fashion mart
1385,Springfield Opera House,springfield opera house
1386,Springfield Glen Country Club,springfield glen country club
1387,Golf Course,golf course
1388,Remote Highway,remote highway
1389,Law Firm,law firm
1390,Haunted House,haunted house
1391,Downtown,downtown
1392,IRS Plaza,irs plaza
1393,IRS Building,irs building
1394,Krusty's Street,krusty street
1395,Krusty's Mansion,krusty mansion
1396,Base Of Mountain,base of mountain
1397,Springfield Shores,springfield shores
1398,Springfield Marina - Bait & Tackle Shop,springfield marina - bait tackle shop
1399,Bait & Tackle Shop,bait tackle shop
1400,Springfield Marina - Slip 8,springfield marina - slip 8
1401,Beach - A While Later,beach - a while later
1402,Springfield Historical Society,springfield historical society
1403,Historical Society,historical society
1404,Copy Jalopy,copy jalopy
1405,Graveyard,graveyard
1406,Springfield Dragstrip,springfield dragstrip
1407,Burns's Limo,burns limo
1408,Tropical Beach,tropical beach
1409,Tropical Night Club,tropical night club
1410,Business District,business district
1411,Channel 6 Commentator's Booth,channel 6 commentator booth
1412,Bumtown Section,bumtown section
1413,An Even Worse Looking Part Of Bumtown,an even worse looking part of bumtown
1414,Seedy Hotel,seedy hotel
1415,Chester'S House,chester house
1416,Springfield Dmv,springfield dmv
1417,'30'S-Style Show-Business Restaurant,30-style show-business restaurant
2173,Jail Cell,jail cell
1418,The Pimento Grove,the pimento grove
1419,Troy'S House,troy house
1420,Trendy Restaurant,trendy restaurant
1421,Route 18 Flea-Market and Drive-In,route 18 flea-market and drive-in
1422,Capitol City,capitol city
1423,Springfield Botanical Gardens,springfield botanical gardens
1424,Botanical Gardens,botanical gardens
1425,Delorean,delorean
1426,Insinutainment Tonight Studios,insinutainment tonight studios
1427,Troy'S Living Room,troy living room
1428,Troy's Bedroom,troy bedroom
1429,Cracker Factory,cracker factory
1430,Salting Room,salting room
1431,Springfield Commodities Exchange,springfield commodities exchange
1432,Springfield Art-house Theater,springfield art-house theater
1433,Street Outside Moe'S,street outside moe
1434,Bart's Car,bart car
1435,Martin'S House,martin house
1436,Nelson'S House,nelson house
1437,Highway Out Of Springfield,highway out of springfield
1438,Site Of The World'S Fair,site of the world fair
1439,Downtown Knoxville,downtown knoxville
1440,Downtown Knoxville Street,downtown knoxville street
1441,Knoxville Bonded Courier Service,knoxville bonded courier service
1442,Hong Kong International Airport,hong kong international airport
1443,Cargo Plane,cargo plane
1444,Busy Highway,busy highway
1445,Sanjays'S House,sanjays house
1446,Bumblebee Man's House,bumblebee man house
1447,Jailbird'S Car,jailbird car
1448,Sewer Pipe,sewer pipe
1449,Children'S Barber Shop,children barber shop
1450,Snippy Longstocking'S,snippy longstocking
1451,Gravesite,gravesite
1452,Cemetery Gate,cemetery gate
1453,Caracas,caracas
1454,Villa,villa
1455,Abandoned German Castle,abandoned german castle
1456,Mayor Quimby'S Office,mayor quimby office
1457,Quimby'S Waiting Room,quimby waiting room
1458,Quimby'S Office,quimby office
1459,Quimby'S Outer Office,quimby outer office
1460,Great Grampa Simpsons' Home,great grampa simpsons home
1461,New York Harbor,new york harbor
1462,Calcutta Technical Institute,calcutta technical institute
1463,Springfield Heights Institute of Technology,springfield heights institute of technology
1464,Computer Lab,computer lab
1465,Dark Alley,dark alley
1466,Immigration Service,immigration service
1467,Suicide Notes,suicide notes
1468,Clearing In The Woods,clearing in the woods
1469,Hullabaloooza,hullabaloooza
1470,Hullabaloooza Fairgrounds,hullabaloooza fairgrounds
1471,Hullabaloooza Stage,hullabaloooza stage
1472,Veterinarian's Office,veterinarian office
1473,Beach House,beach house
1474,Strip Mall,strip mall
1475,Teejay's Zaymart,teejay zaymart
1476,Downtown Pwagmattasquarmsettport,downtown pwagmattasquarmsettport
1477,Beach Boardwalk,beach boardwalk
1478,Under The Boardwalk,under the boardwalk
1479,Far Side Of Parking Lot,far side of parking lot
1480,Beach In Front Of The House,beach in front of the house
1481,Convenience Store,convenience store
1482,Kids' Beach Party,kids beach party
1483,Outskirts Of Carnival,outskirts of carnival
1484,Margarine Tub,margarine tub
1485,Springfield Pond,springfield pond
1486,Saucer,saucer
1487,Washington D.C. - Republican National Committee,washington dc - republican national committee
1488,Washington D.C. - White House,washington dc - white house
1489,Dole Campaign Stop,dole campaign stop
1490,Springfield Auditorium,springfield auditorium
1491,Washington D.C. - U.S. Capitol,washington dc - us capitol
1492,Smithers' House,smithers house
1493,Model Home,model home
1494,Cypress Creek,cypress creek
1495,New Simpson House,new simpson house
1496,Globex Corporation,globex corporation
1497,Globex,globex
1498,Cypress Creek Elementary School,cypress creek elementary school
1499,Hallway Outside the Classroom,hallway outside the classroom
1500,"Miscellaneous, Etc.",miscellaneous etc
1501,Springfield Gym,springfield gym
1502,Back Roads,back roads
1503,Car Wash,car wash
1504,Springfield Penitentiary,springfield penitentiary
1505,Historic Mill,historic mill
1506,New Haven Station,new haven station
1507,Burns's Private Railroad Car,burns private railroad car
1508,Rural Roadside,rural roadside
1509,Natural History Museum,natural history museum
1510,Costume Shop,costume shop
1511,Oil Spill Beach,oil spill beach
1512,Spooky Victorian House,spooky victorian house
1513,Burlesque House,burlesque house
1514,Upscale Kitchen Store,upscale kitchen store
1515,Stoner's Pot Palace,stoner pot palace
1516,Casa Nova,casa nova
1517,Southern Cracker,southern cracker
1518,Luann'S House,luann house
1519,County Court House,county court house
1520,Prof. Frink'S Lab,prof frink lab
1521,Nelson'S Room,nelson room
1522,Springfield Observatory,springfield observatory
1523,Streets Of Springfield,streets of springfield
1524,Flanders' Former House,flanders former house
1525,New Flanders House,new flanders house
1526,Calmwood Mental Hospital,calmwood mental hospital
1527,Insane Asylum,insane asylum
1528,Doctor Foster'S House,doctor foster house
1529,Flanders' Booth,flanders booth
1530,Observation Room,observation room
1531,Fairgrounds,fairgrounds
1532,Chili Cook-Off,chili cook-off
1533,Hallucinatory Desert,hallucinatory desert
1534,Hallucination,hallucination
1535,Bob's All-Night Furniture Store,bob all-night furniture store
1536,Waterfront District,waterfront district
1537,Stormy Seacoast,stormy seacoast
1538,Lighthouse Control Room,lighthouse control room
1539,Lighthouse,lighthouse
1540,Open Field,open field
1541,Fbi Building,fbi building
1542,Police Lineup Area,police lineup area
1543,Government Lab,government lab
1544,Back Room,back room
1545,Springfield Field,springfield field
1546,Municipal House of Pancakes,municipal house of pancakes
1547,Springfield Baseball Stadium,springfield baseball stadium
1548,Springfield Docks,springfield docks
1549,Deserted Stretch Of Highway,deserted stretch of highway
1550,Mountains,mountains
1551,Nearby Picnic Area,nearby picnic area
1552,Mountain Base,mountain base
1553,Nature Center,nature center
1554,Mountain Top,mountain top
1555,Snowbank Above Buried Cabin,snowbank above buried cabin
1556,Tunnel,tunnel
1557,Buried Cabin,buried cabin
1558,Ranger Station,ranger station
