id,name,normalized_name
188,Flanders Home,flanders home
189,Sidewalk Cafe,sidewalk cafe
190,TV Studio,tv studio
191,Krusty's Apartment,krusty apartment
192,Springfield Police Station,springfield police station
193,Springfield Courthouse Steps,springfield courthouse steps
194,Courtroom,courtroom
195,Springfield High School Football Field,springfield high school football field
196,Sideshow Bob's Dressing Room,sideshow bob dressing room
197,Television Station,television station
198,Jailhouse,jailhouse
199,Radio Station,radio station
200,Howard's Flowers,howard flowers
201,Rubber Baby Buggy Bumper Babysitting Service,rubber baby buggy bumper babysitting service
202,Chez Pierre Restaurant,chez pierre restaurant
203,Restaurant,restaurant
204,Motel Room,motel room
205,Ye Olde Off-Ramp Inn Motel Room,ye olde off-ramp inn motel room
206,Public Pay Phone,public pay phone
207,Infirmary,infirmary
208,Outside Bart'S Window,outside bart window
209,Springfield County,springfield county
210,Simpson Hallway,simpson hallway
211,Neighborhood,neighborhood
212,"Continental Congress, Philadelphia",continental congress philadelphia
213,Simpson Basement,simpson basement
214,Snowy Street,snowy street
215,Winfield'S House,winfield house
216,Springfield,springfield
217,Jake's Unisex Hair Palace,jake unisex hair palace
218,Karl's Elegant Apartment,karl elegant apartment
219,"Huge Old House Like In ""The Shining""",huge old house like in the shining
220,Living Room Of House,living room of house
221,Spacecraft,spacecraft
222,Space Ship,space ship
223,Spaceship Galley,spaceship galley
224,Chamber,chamber
225,Marge & Homer's Room,marge homer room
226,Sunny Sky,sunny sky
227,Security Clearance Booth At Power Plant,security clearance booth at power plant
228,Cooling Tower,cooling tower
229,Other Part of Nuclear Plant,other part of nuclear plant
230,Rolls Royce,rolls royce
231,Studio,studio
232,Stadium,stadium
233,Ball Park,ball park
234,Press Box,press box
235,Parking Lot,parking lot
236,Ballpark,ballpark
237,Owner'S Office,owner office
238,Highway,highway
239,Capital City,capital city
240,Hotel Room,hotel room
241,Capital City Cap Dome,capital city cap dome
242,Cap City Dome,cap city dome
243,Locker Room,locker room
244,Cap Dome,cap dome
245,Lovejoy Bedroom,lovejoy bedroom
246,Family Fun Center,family fun center
247,Miniature Golf Course,miniature golf course
248,Library,library
249,Library Stacks,library stacks
250,Lake Springfield,lake springfield
251,Top Of Mount Springfield,top of mount springfield
252,Miniature Golf,miniature golf
253,Simpson And Flanders Houses,simpson and flanders houses
254,Rich Neighborhood,rich neighborhood
255,Skid Row,skid row
256,Springfield Plasma Center,springfield plasma center
257,Plasma Center,plasma center
258,Rescue Mission,rescue mission
259,Mission,mission
260,Dining Room,dining room
261,Springfield Speedway,springfield speedway
262,Speedway,speedway
263,Speedway Stands,speedway stands
264,Springfield General Hospital,springfield general hospital
