character_id,name,normalized_name,gender
6153,Shakespearean Actor,shakespearean actor,unknown
6154,New York Cop,new york cop,unknown
6155,Al Roker,al roker,unknown
6156,Barts,barts,unknown
6157,t,t,unknown
6158,Ethereal Being,ethereal being,unknown
6159,2nd Ethereal Being,2nd ethereal being,unknown
6160,Ethereal Beings,ethereal beings,unknown
6161,Little Marge,little marge,unknown
6162,PATTY/SELMA,pattyselma,unknown
6163,DEMONS,demons,unknown
6164,Mysterious Figure,mysterious figure,unknown
6165,Corrupt Pope Homer,corrupt pope homer,unknown
6166,Fop Homer,fop homer,unknown
6167,Caveman Homer,caveman homer,unknown
6168,Egyptian Slave Homer,egyptian slave homer,unknown
6169,Jeff Gordon,jeff gordon,unknown
6170,Evil Wizard,evil wizard,unknown
6171,Meredith Milgram,meredith milgram,unknown
6172,Septuplets,septuplets,unknown
6173,Thought Bubble Dr. Hibbert,thought bubble dr hibbert,unknown
6174,THOUGHT BUBBLE BERNICE,thought bubble bernice,unknown
6175,Roberto Dinero,roberto dinero,unknown
6176,ROBERT DINERO,robert dinero,unknown
6177,Female Orderly,female orderly,unknown
6178,Male Orderly,male orderly,unknown
6179,Burly Biker,burly biker,unknown
6180,Spiro,spiro,unknown
6181,YOUNG SPIRO,young spiro,unknown
6182,Marvin Hamlisch,marvin hamlisch,unknown
6183,CHANTEUSE,chanteuse,unknown
6184,YOUNG RITA,young rita,unknown
6185,RITA,rita,unknown
6186,Jennifer Tilly,jennifer tilly,unknown
6187,Puppet,puppet,unknown
6188,Dealer Avatar,dealer avatar,unknown
6189,Elderly Owner,elderly owner,unknown
